bitterDB Receptor ID	Short Name	Organism	Protein Name	Additional Names	Number Of Ligands	Mutation data
1	hTAS2R1	Human	Taste receptor type 2 member 1	TRB7 Taste receptor family B member 7	39	+
3	hTAS2R3	Human	Taste receptor type 2 member 3		1	-
4	hTAS2R4	Human	Taste receptor type 2 member 4		33	+
5	hTAS2R5	Human	Taste receptor type 2 member 5		6	-
7	hTAS2R7	Human	Taste receptor type 2 member 7	TRB4 Taste receptor family B member 4	12	-
8	hTAS2R8	Human	Taste receptor type 2 member 8	TRB5 Taste receptor family B member 5	4	-
9	hTAS2R9	Human	Taste receptor type 2 member 9	TRB6 Taste receptor family B member 6	3	-
10	hTAS2R10	Human	Taste receptor type 2 member 10	TRB2 Taste receptor family B member 2	45	+
13	hTAS2R13	Human	Taste receptor type 2 member 13	TRB3 Taste receptor family B member 3	2	-
14	hTAS2R14	Human	Taste receptor type 2 member 14	TRB1 Taste receptor family B member 1	151	+
16	hTAS2R16	Human	Taste receptor type 2 member 16		13	+
38	hTAS2R38	Human	Taste receptor type 2 member 38	PTC bitter taste receptor, Taste receptor type 2 member 61 T2R61	23	+
39	hTAS2R39	Human	Taste receptor type 2 member 39	Taste receptor type 2 member 57 T2R57	84	+
40	hTAS2R40	Human	Taste receptor type 2 member 40	Taste receptor type 2 member 58 T2R58, GPR60 G- protein coupled receptor 60	13	-
41	hTAS2R41	Human	Taste receptor type 2 member 41	Taste receptor type 2 member 59 T2R59	2	-
42	hTAS2R42	Human	Taste receptor type 2 member 42	Taste receptor type 2 member 55 T2R55	0	-
43	hTAS2R43	Human	Taste receptor type 2 member 43	Taste receptor type 2 member 52 T2R52	19	+
44	hTAS2R44	Human	Taste receptor type 2 member 44	Taste receptor type 2 member 31 T2R31, Taste receptor type 2 member 53 T2R53	10	+
45	hTAS2R45	Human	Taste receptor type 2 member 45	G-protein coupled receptor 59 GPR59	0	-
46	hTAS2R46	Human	Taste receptor type 2 member 46	Taste receptor type 2 member 54 T2R54	68	+
47	hTAS2R47	Human	Taste receptor type 2 member 47	Taste receptor type 2 member 30 TAS2R30	10	+
48	hTAS2R48	Human	Taste receptor type 2 member 48	Taste receptor type 2 member 23 T2R23 , Taste receptor type 2 member 19 T2R19	0	-
49	hTAS2R49	Human	Taste receptor type 2 member 49	Taste receptor type 2 member 20 TAS2R20 , Taste receptor type 2 member56 T2R56	3	-
50	hTAS2R50	Human	Taste receptor type 2 member 50	Taste receptor type 2 member 51 T2R51	2	-
60	hTAS2R60	Human	Taste receptor type 2 member 60	Taste receptor type 2 member 56 T2R56	0	-
1001	ggTAS2R1	Chicken	Taste receptor type 2 member 1	Taste receptor type 2 member 40-like	14	-
1002	ggTAS2R2	Chicken	Taste receptor type 2 member 2		9	-
1007	ggTAS2R7	Chicken	Taste receptor type 2 member 7		17	-
2102	mTAS2R102	Mouse	Taste receptor type 2 member 102	Taste receptor type 2 member 102 (T2R102) (mT2R51) (STC9-7)	0	-
2103	mTAS2R103	Mouse	Taste receptor type 2 member 103	Taste receptor type 2 member 103 (T2R103) (Taste receptor family B member 2) (TRB2) (Taste receptor type 2 member 10) (T2R10)	0	-
2104	mTAS2R104	Mouse	Taste receptor type 2 member 104	Taste receptor type 2 member 104 (T2R104) (mT2R45)	0	-
2105	mTAS2R105	Mouse	Taste receptor type 2 member 105	Taste receptor type 2 member 105 (T2R105) (Taste receptor type 2 member 5) (T2R5) (Taste receptor type 2 member 9) (T2R9)	46	-
2106	mTAS2R106	Mouse	Taste receptor type 2 member 106	Taste receptor type 2 member 106 (T2R106) (mT2R44)	0	-
