,desc,n_nodes,label,pred,conv3_feats,TSNE1,TSNE2,Cluster,acc,Imp
0,PFIV,4,1,1,"tensor([[ 0.2419,  0.1304,  0.1698,  0.0804,  0.0266, -0.2762, -0.1862, -0.2697,
         -0.1964, -0.1341, -0.2176, -0.2633, -0.1418,  0.0236,  0.1118, -0.2295],
        [ 0.2925,  0.1357,  0.1972,  0.1141,  0.0309, -0.3695, -0.2073, -0.3008,
         -0.2659, -0.1418, -0.2498, -0.3358, -0.1749,  0.0407,  0.1498, -0.2751],
        [ 0.2528,  0.0657,  0.1708,  0.0916,  0.0208, -0.3371, -0.1358, -0.2580,
         -0.2423, -0.0835, -0.1849, -0.3167, -0.1262,  0.0471,  0.1491, -0.2187],
        [ 0.1938,  0.0449,  0.1377,  0.0532,  0.0143, -0.2374, -0.0990, -0.2176,
         -0.1680, -0.0628, -0.1384, -0.2406, -0.0826,  0.0315,  0.1113, -0.1609]])",10.419634,-30.210619,1,1,-0.06900284
1,AFP,3,0,0,"tensor([[-0.0360, -0.0379, -0.0009, -0.1190,  0.0047,  0.1986,  0.0264, -0.0718,
          0.1524, -0.0096,  0.0841,  0.0569,  0.0794, -0.0414, -0.0185,  0.0633],
        [-0.0098,  0.0052,  0.0180, -0.0999,  0.0081,  0.1666, -0.0146, -0.0969,
          0.1296, -0.0404,  0.0357,  0.0423,  0.0499, -0.0424, -0.0198,  0.0274],
        [-0.0184,  0.0109,  0.0216, -0.0877, -0.0051,  0.1474, -0.0006, -0.0837,
          0.1189, -0.0212,  0.0042,  0.0572,  0.0603, -0.0369, -0.0434,  0.0344]])",4.333601,16.36406,2,1,0.013489188
2,LSPA,4,0,0,"tensor([[-1.4639e-02, -2.8872e-02,  2.0749e-02, -8.2718e-02, -8.8409e-03,
          1.1545e-01,  3.1286e-02, -7.4797e-02,  9.4741e-02,  1.0101e-02,
          2.5890e-02,  2.8623e-02,  7.1695e-02, -2.3556e-02, -2.2693e-02,
          4.3528e-02],
        [-9.5768e-03, -2.8095e-02,  1.7145e-02, -9.4248e-02,  2.2770e-03,
          1.3810e-01,  1.6057e-02, -8.5949e-02,  1.0878e-01, -9.6511e-03,
          4.9348e-02,  2.2583e-02,  6.2582e-02, -3.0331e-02, -7.5638e-03,
          3.7800e-02],
        [-2.0623e-02, -3.3770e-02, -2.9830e-04, -1.2732e-01,  1.9466e-02,
          2.1126e-01,  1.9130e-03, -9.1787e-02,  1.5834e-01, -3.7154e-02,
          1.0594e-01,  3.7717e-02,  6.1396e-02, -4.7399e-02,  6.0572e-03,
          4.7297e-02],
        [-1.2968e-02, -3.1688e-02,  2.2828e-05, -1.3148e-01,  2.6827e-02,
          2.1756e-01, -1.0313e-02, -1.0177e-01,  1.6128e-01, -5.0924e-02,
          1.1684e-01,  2.8138e-02,  5.2419e-02, -5.0381e-02,  1.8303e-02,
          3.9319e-02]])",2.4593687,19.090715,2,1,0.014647106
3,PGR,3,1,1,"tensor([[ 0.2145,  0.2901,  0.1669,  0.0520,  0.0406, -0.1245, -0.3104, -0.2981,
         -0.0820, -0.2589, -0.2978, -0.1303, -0.1799, -0.0347,  0.0190, -0.2554],
        [ 0.2754,  0.3621,  0.2048,  0.0886,  0.0524, -0.1962, -0.3906, -0.3539,
         -0.1350, -0.3203, -0.3762, -0.1800, -0.2424, -0.0338,  0.0357, -0.3309],
        [ 0.2231,  0.2892,  0.1714,  0.0578,  0.0411, -0.1415, -0.3125, -0.3029,
         -0.0946, -0.2588, -0.3023, -0.1437, -0.1849, -0.0313,  0.0262, -0.2626]])",-13.797424,-24.274593,3,1,-0.08240285
4,EVLN,4,1,1,"tensor([[ 0.0990,  0.0113,  0.0845, -0.0086,  0.0038, -0.0768, -0.0397, -0.1526,
         -0.0484, -0.0297, -0.0637, -0.1181, -0.0124,  0.0064,  0.0503, -0.0679],
        [ 0.1043,  0.0132,  0.0875, -0.0052,  0.0044, -0.0858, -0.0430, -0.1562,
         -0.0551, -0.0315, -0.0678, -0.1249, -0.0163,  0.0078,  0.0537, -0.0731],
        [ 0.0572, -0.0035,  0.0611, -0.0359, -0.0009, -0.0061, -0.0136, -0.1240,
          0.0042, -0.0150, -0.0307, -0.0642,  0.0185, -0.0046,  0.0235, -0.0269],
        [ 0.0025, -0.0228,  0.0304, -0.0715, -0.0069,  0.0864,  0.0206, -0.0865,
          0.0731,  0.0041,  0.0124,  0.0065,  0.0590, -0.0190, -0.0117,  0.0267]])",16.036135,-1.4873439,2,1,-0.012633454
5,YEGNS,5,1,1,"tensor([[ 0.1817,  0.0406,  0.1310,  0.0453,  0.0130, -0.2169, -0.0914, -0.2093,
         -0.1527, -0.0586, -0.1289, -0.2250, -0.0737,  0.0283,  0.1035, -0.1490],
        [ 0.1879,  0.0428,  0.1344,  0.0493,  0.0136, -0.2273, -0.0953, -0.2135,
         -0.1605, -0.0608, -0.1337, -0.2329, -0.0782,  0.0299,  0.1074, -0.1550],
        [ 0.1256,  0.0207,  0.0995,  0.0087,  0.0067, -0.1220, -0.0564, -0.1709,
         -0.0821, -0.0390, -0.0847, -0.1526, -0.0321,  0.0135,  0.0675, -0.0940],
        [ 0.0760,  0.0032,  0.0716, -0.0236,  0.0012, -0.0380, -0.0254, -0.1369,
         -0.0195, -0.0216, -0.0456, -0.0885,  0.0046,  0.0004,  0.0356, -0.0454],
        [ 0.0448, -0.0079,  0.0541, -0.0440, -0.0022,  0.0149, -0.0058, -0.1155,
          0.0199, -0.0107, -0.0209, -0.0481,  0.0277, -0.0079,  0.0155, -0.0147]])",15.264677,-13.497272,1,1,-0.029978642
6,RPF,3,1,1,"tensor([[ 0.2596,  0.3508,  0.1955,  0.0786,  0.0501, -0.1730, -0.3759, -0.3415,
         -0.1177, -0.3102, -0.3603, -0.1628, -0.2287, -0.0363,  0.0281, -0.3136],
        [ 0.3532,  0.4460,  0.2526,  0.1359,  0.0667, -0.2929, -0.4863, -0.4229,
         -0.2064, -0.3923, -0.4715, -0.2480, -0.3194, -0.0303,  0.0607, -0.4248],
        [ 0.3072,  0.3695,  0.2224,  0.1096,  0.0556, -0.2524, -0.4073, -0.3746,
         -0.1768, -0.3284, -0.3990, -0.2232, -0.2646, -0.0243,  0.0579, -0.3609]])",-17.909334,-29.646774,3,1,-0.10679657
7,IQSEPKAIP,9,0,0,"tensor([[-2.7200e-02, -3.5560e-02, -5.7422e-04, -1.2375e-01,  1.3142e-02,
          2.0584e-01,  1.2418e-02, -8.3209e-02,  1.5580e-01, -2.5323e-02,
          9.6577e-02,  4.5948e-02,  6.9109e-02, -4.4837e-02, -4.4640e-03,
          5.4152e-02],
        [-3.2243e-02, -3.6931e-02, -7.8578e-04, -1.2101e-01,  8.2918e-03,
          2.0169e-01,  2.0473e-02, -7.6632e-02,  1.5386e-01, -1.6251e-02,
          8.9398e-02,  5.2259e-02,  7.5023e-02, -4.2873e-02, -1.2532e-02,
          5.9409e-02],
        [-5.4684e-02, -4.3036e-02, -1.7272e-03, -1.0883e-01, -1.3287e-02,
          1.8322e-01,  5.6313e-02, -4.7366e-02,  1.4521e-01,  2.4114e-02,
          5.7456e-02,  8.0341e-02,  1.0134e-01, -3.4132e-02, -4.8428e-02,
          8.2796e-02],
        [-2.4815e-02, -3.4911e-02, -4.7417e-04, -1.2504e-01,  1.5435e-02,
          2.0781e-01,  8.6088e-03, -8.6320e-02,  1.5672e-01, -2.9613e-02,
          9.9972e-02,  4.2964e-02,  6.6312e-02, -4.5766e-02, -6.4911e-04,
          5.1667e-02],
        [ 2.6669e-02, -2.0906e-02,  1.6856e-03, -1.5300e-01,  6.4942e-02,
          2.5018e-01, -7.3618e-02, -1.5346e-01,  1.7656e-01, -1.2222e-01,
          1.7326e-01, -2.1462e-02,  5.9390e-03, -6.5820e-02,  8.1707e-02,
         -1.9907e-03],
        [ 6.3934e-02, -1.0769e-02,  3.2488e-03, -1.7323e-01,  1.0078e-01,
          2.8085e-01, -1.3313e-01, -2.0206e-01,  1.9091e-01, -1.8925e-01,
          2.2630e-01, -6.8095e-02, -3.7760e-02, -8.0335e-02,  1.4132e-01,
         -4.0829e-02],
        [ 3.9302e-02, -1.7470e-02,  2.2155e-03, -1.5986e-01,  7.7090e-02,
          2.6058e-01, -9.3795e-02, -1.6994e-01,  1.8142e-01, -1.4495e-01,
          1.9124e-01, -3.7271e-02, -8.8752e-03, -7.0740e-02,  1.0192e-01,
         -1.5157e-02],
        [-1.2182e-02, -3.1474e-02,  5.5783e-05, -1.3190e-01,  2.7583e-02,
          2.1820e-01, -1.1568e-02, -1.0280e-01,  1.6159e-01, -5.2337e-02,
          1.1795e-01,  2.7155e-02,  5.1498e-02, -5.0687e-02,  1.9559e-02,
          3.8500e-02],
        [-4.8270e-02, -4.1291e-02, -1.4581e-03, -1.1231e-01, -7.1195e-03,
          1.8850e-01,  4.6069e-02, -5.5730e-02,  1.4768e-01,  1.2577e-02,
          6.6586e-02,  7.2314e-02,  9.3816e-02, -3.6630e-02, -3.8168e-02,
          7.6112e-02]])",-7.590258,21.965033,0,1,0.016099209
8,WL,2,1,1,"tensor([[ 0.2258,  0.0562,  0.1557,  0.0741,  0.0179, -0.2915, -0.1190, -0.2395,
         -0.2083, -0.0740, -0.1637, -0.2819, -0.1063,  0.0400,  0.1318, -0.1923],
        [ 0.2258,  0.0562,  0.1557,  0.0741,  0.0179, -0.2915, -0.1190, -0.2395,
         -0.2083, -0.0740, -0.1637, -0.2819, -0.1063,  0.0400,  0.1318, -0.1923]])",13.05641,-28.802519,1,1,-0.060948655
9,YGY,3,1,1,"tensor([[ 0.2048,  0.0527,  0.1442,  0.0601,  0.0159, -0.2535, -0.1092, -0.2262,
         -0.1800, -0.0698, -0.1495, -0.2525, -0.0921,  0.0332,  0.1166, -0.1729],
        [ 0.2588,  0.0711,  0.1744,  0.0953,  0.0218, -0.3453, -0.1423, -0.2630,
         -0.2483, -0.0881, -0.1916, -0.3226, -0.1318,  0.0477,  0.1516, -0.2256],
        [ 0.2048,  0.0527,  0.1442,  0.0601,  0.0159, -0.2535, -0.1092, -0.2262,
         -0.1800, -0.0698, -0.1495, -0.2525, -0.0921,  0.0332,  0.1166, -0.1729]])",12.7027445,-28.08738,1,1,-0.060293447
10,FRAEHPL,7,0,0,"tensor([[-1.5313e-02,  4.7562e-03,  1.4054e-02, -1.0585e-01,  9.2428e-03,
          1.8170e-01, -1.4413e-02, -9.4806e-02,  1.4046e-01, -4.2538e-02,
          4.3182e-02,  5.0483e-02,  5.2616e-02, -4.5583e-02, -2.2343e-02,
          3.2126e-02],
        [-6.0860e-03,  4.6138e-04,  1.1848e-02, -1.1533e-01,  2.0929e-02,
          1.9552e-01, -2.7710e-02, -1.0756e-01,  1.4767e-01, -5.9900e-02,
          6.9219e-02,  3.5375e-02,  4.2264e-02, -4.9890e-02, -8.1253e-04,
          2.4278e-02],
        [-2.9950e-02, -3.4081e-02,  1.5881e-04, -1.2079e-01,  9.5767e-03,
          2.0154e-01,  1.6339e-02, -7.9389e-02,  1.5355e-01, -2.0126e-02,
          8.8441e-02,  5.0555e-02,  7.2180e-02, -4.3533e-02, -1.1078e-02,
          5.6440e-02],
        [-1.6040e-02, -3.2524e-02, -1.0603e-04, -1.2981e-01,  2.3874e-02,
          2.1503e-01, -5.4071e-03, -9.7765e-02,  1.6010e-01, -4.5398e-02,
          1.1246e-01,  3.1982e-02,  5.6021e-02, -4.9184e-02,  1.3389e-02,
          4.2521e-02],
        [-7.9333e-03, -3.0319e-02,  2.3403e-04, -1.3421e-01,  3.1669e-02,
          2.2170e-01, -1.8354e-02, -1.0834e-01,  1.6322e-01, -5.9980e-02,
          1.2400e-01,  2.1838e-02,  4.6515e-02, -5.2342e-02,  2.6356e-02,
          3.4072e-02],
        [ 2.6209e-02, -2.1031e-02,  1.6663e-03, -1.5275e-01,  6.4500e-02,
          2.4980e-01, -7.2883e-02, -1.5286e-01,  1.7638e-01, -1.2139e-01,
          1.7260e-01, -2.0887e-02,  6.4786e-03, -6.5640e-02,  8.0971e-02,
         -1.5111e-03],
        [ 2.3124e-02, -2.1870e-02,  1.5369e-03, -1.5107e-01,  6.1534e-02,
          2.4726e-01, -6.7957e-02, -1.4884e-01,  1.7519e-01, -1.1585e-01,
          1.6821e-01, -1.7027e-02,  1.0096e-02, -6.4439e-02,  7.6037e-02,
          1.7035e-03]])",-7.610412,20.664633,0,1,0.013950518
11,FNQ,3,0,0,"tensor([[-0.0049, -0.0254,  0.0262, -0.0763, -0.0078,  0.0989,  0.0252, -0.0815,
          0.0824,  0.0067,  0.0182,  0.0160,  0.0645, -0.0210, -0.0164,  0.0339],
        [-0.0030, -0.0248,  0.0273, -0.0751, -0.0076,  0.0958,  0.0240, -0.0828,
          0.0801,  0.0060,  0.0167,  0.0136,  0.0631, -0.0205, -0.0152,  0.0321],
        [-0.0094, -0.0270,  0.0237, -0.0793, -0.0083,  0.1066,  0.0280, -0.0784,
          0.0881,  0.0083,  0.0218,  0.0219,  0.0678, -0.0222, -0.0193,  0.0384]])",12.905949,12.594509,2,1,0.008941399
12,DLP,3,0,0,"tensor([[ 0.0623, -0.0017,  0.0639, -0.0325, -0.0003, -0.0148, -0.0168, -0.1275,
         -0.0022, -0.0168, -0.0348, -0.0708,  0.0147, -0.0032,  0.0268, -0.0319],
        [ 0.0442, -0.0083,  0.0520, -0.0484,  0.0006,  0.0243, -0.0088, -0.1172,
          0.0261, -0.0154, -0.0130, -0.0473,  0.0267, -0.0102,  0.0184, -0.0144],
        [-0.0178, -0.0303,  0.0168, -0.0897, -0.0057,  0.1312,  0.0292, -0.0752,
          0.1055,  0.0052,  0.0375,  0.0329,  0.0723, -0.0271, -0.0208,  0.0464]])",14.856387,4.5969863,2,1,-0.0013714867
13,EPAD,4,1,1,"tensor([[-0.0124, -0.0281,  0.0220, -0.0813, -0.0086,  0.1117,  0.0299, -0.0763,
          0.0919,  0.0093,  0.0241,  0.0258,  0.0701, -0.0230, -0.0213,  0.0414],
        [ 0.0591, -0.0028,  0.0621, -0.0346, -0.0007, -0.0093, -0.0148, -0.1253,
          0.0018, -0.0157, -0.0322, -0.0666,  0.0171, -0.0041,  0.0247, -0.0288],
        [ 0.1671,  0.0354,  0.1228,  0.0358,  0.0113, -0.1921, -0.0823, -0.1993,
         -0.1343, -0.0535, -0.1174, -0.2061, -0.0628,  0.0244,  0.0941, -0.1347],
        [ 0.1747,  0.0381,  0.1270,  0.0407,  0.0122, -0.2050, -0.0870, -0.2045,
         -0.1439, -0.0561, -0.1233, -0.2159, -0.0684,  0.0264,  0.0990, -0.1421]])",15.083495,-10.286351,1,1,-0.022102345
