desc,n_nodes,label,pred,conv3_feats,avg_desc_act,Cluster,acc,kmeansbitter,ClusterName,Imp
PFIV,4,1,1,"[[ 0.24194278  0.1304015   0.16981557  0.08035035  0.02655038 -0.27624488
  -0.18624249 -0.26967382 -0.19636063 -0.13407879 -0.21758018 -0.26330605
  -0.14184132  0.02356232  0.11179547 -0.22945815]
 [ 0.29245418  0.13569374  0.19723938  0.1140579   0.03089196 -0.36954868
  -0.2073201  -0.30076733 -0.26594466 -0.141774   -0.24983184 -0.33577752
  -0.17489776  0.0406903   0.14983517 -0.27506617]
 [ 0.25275564  0.06570587  0.17083202  0.09162086  0.02084796 -0.3371215
  -0.13583007 -0.25796634 -0.24226485 -0.08347192 -0.1848834  -0.31671003
  -0.12623346  0.04706137  0.14914612 -0.21867967]
 [ 0.19380786  0.04485599  0.13774589  0.0531873   0.01430297 -0.23735179
  -0.09898898 -0.21758616 -0.167971   -0.06284356 -0.13841774 -0.24058038
  -0.08259947  0.03149351  0.11126362 -0.16087525]]",[-0.070648   -0.08500409 -0.06907446 -0.05128483],3.0,1,2,Cluster-3,-0.06900284
AFP,3,0,0,"[[-0.03595678 -0.03794155 -0.00094156 -0.11899525  0.004721    0.19863643
   0.0264033  -0.07178913  0.15242678 -0.00957165  0.08411261  0.05690586
   0.07937713 -0.04142644 -0.01847159  0.06327875]
 [-0.00979918  0.00516363  0.01800039 -0.09990226  0.00808451  0.16658038
  -0.01461529 -0.09694516  0.12961866 -0.04039599  0.0356971   0.04231016
   0.04993206 -0.0423868  -0.01984611  0.02736402]
 [-0.01843866  0.01090204  0.02164845 -0.0877286  -0.00512046  0.14742638
  -0.00064642 -0.08366434  0.11889871 -0.0212084   0.00415035  0.05719769
   0.06033933 -0.03694763 -0.04337906  0.03442357]]",[0.020673   0.00992876 0.00986581],2.0,1,7,Cluster-2,0.013489188
LSPA,4,0,0,"[[-1.46386400e-02 -2.88716815e-02  2.07493603e-02 -8.27183127e-02
  -8.84090178e-03  1.15445808e-01  3.12855318e-02 -7.47971386e-02
   9.47408825e-02  1.01007745e-02  2.58904174e-02  2.86231078e-02
   7.16954917e-02 -2.35562939e-02 -2.26933807e-02  4.35279980e-02]
 [-9.57680121e-03 -2.80949771e-02  1.71454549e-02 -9.42475125e-02
   2.27703527e-03  1.38097644e-01  1.60572939e-02 -8.59486461e-02
   1.08784080e-01 -9.65108350e-03  4.93478701e-02  2.25834846e-02
   6.25819489e-02 -3.03309038e-02 -7.56380707e-03  3.77996750e-02]
 [-2.06228346e-02 -3.37704048e-02 -2.98300758e-04 -1.27320722e-01
   1.94662642e-02  2.11257353e-01  1.91297010e-03 -9.17874426e-02
   1.58335000e-01 -3.71540897e-02  1.05939284e-01  3.77173051e-02
   6.13957122e-02 -4.73991521e-02  6.05724379e-03  4.72974330e-02]
 [-1.29677951e-02 -3.16880792e-02  2.28276476e-05 -1.31476969e-01
   2.68274229e-02  2.17557997e-01 -1.03131421e-02 -1.01771027e-01
   1.61284521e-01 -5.09238429e-02  1.16835624e-01  2.81379595e-02
   5.24189994e-02 -5.03808632e-02  1.83025710e-02  3.93192098e-02]]",[0.01162144 0.0118288  0.0181891  0.01694909],2.0,1,7,Cluster-2,0.014647106
PGR,3,1,1,"[[ 0.21448441  0.29007643  0.16689411  0.05201405  0.04056635 -0.12452067
  -0.31041065 -0.29811683 -0.08196418 -0.2589279  -0.29783502 -0.13034692
  -0.17988619 -0.03472141  0.01899391 -0.25538927]
 [ 0.2753872   0.36207867  0.20479846  0.08861405  0.05241203 -0.19624482
  -0.3905759  -0.35391283 -0.13495238 -0.32029584 -0.37619773 -0.17995667
  -0.24235585 -0.03383985  0.03574372 -0.33085695]
 [ 0.2230586   0.2892145   0.17141941  0.05784425  0.04112599 -0.1414525
  -0.31251985 -0.30290383 -0.09460504 -0.25883687 -0.3022507  -0.14366195
  -0.18489084 -0.03128366  0.02623206 -0.26258183]]",[-0.07431812 -0.09625967 -0.07663076],4.0,1,6,Cluster-4,-0.08240285
EVLN,4,1,1,"[[ 0.09897329  0.01131294  0.08451729 -0.00864415  0.00377346 -0.07684343
  -0.03971944 -0.15262304 -0.04844792 -0.0296569  -0.0636643  -0.11810388
  -0.01240162  0.00644812  0.05031871 -0.0678802 ]
 [ 0.1042549   0.01318105  0.08748174 -0.00520058  0.00435988 -0.0857826
  -0.04302033 -0.15624103 -0.05510451 -0.03150516 -0.06782754 -0.12492495
  -0.01631115  0.00784297  0.05371291 -0.07305937]
 [ 0.05719925 -0.00346257  0.06107042 -0.03588052 -0.00086472 -0.00614049
  -0.01361159 -0.12400719  0.00420125 -0.01503837 -0.03073588 -0.06415375
   0.01852009 -0.00458422  0.02347286 -0.02691646]
 [ 0.00250251 -0.02280884  0.03037032 -0.0715424  -0.00693772  0.08643425
   0.02057268 -0.08653909  0.07313734  0.00410235  0.01237889  0.00648574
   0.05900738 -0.01902939 -0.01167771  0.02671934]]",[-0.02266507 -0.02425898 -0.01005824  0.00644848],2.0,1,8,Cluster-2,-0.012633454
YEGNS,5,1,1,"[[ 0.18171774  0.04057971  0.13095997  0.04530464  0.0129606  -0.21688919
  -0.09143293 -0.20930427 -0.15273346 -0.05861272 -0.1288877  -0.22496635
  -0.07365022  0.02830057  0.10349397 -0.14901966]
 [ 0.18785596  0.04275081  0.13440523  0.04930672  0.01364213 -0.22727819
  -0.09526917 -0.21350902 -0.16046967 -0.06076074 -0.13372615 -0.23289368
  -0.07819379  0.02992165  0.10743867 -0.1550388 ]
 [ 0.12564677  0.02074736  0.09948855  0.00874677  0.00673502 -0.12198855
  -0.05638979 -0.17089479 -0.08206537 -0.03899108 -0.08468969 -0.15255204
  -0.0321457   0.01349247  0.06746027 -0.0940363 ]
 [ 0.07604258  0.00320233  0.07164677 -0.02359481  0.00122746 -0.03803296
  -0.02538824 -0.13691515 -0.0195476  -0.02163246 -0.04558914 -0.08848944
   0.00457201  0.00039222  0.0355824  -0.04539426]
 [ 0.04477487 -0.00785708  0.05409688 -0.04398113 -0.0022442   0.0148879
  -0.00584662 -0.1154963   0.01986012 -0.01069055 -0.02094234 -0.04810797
   0.0277168  -0.00786545  0.01548838 -0.01473306]]",[-0.0476362  -0.04948863 -0.03071476 -0.01574489 -0.00630873],3.0,1,2,Cluster-3,-0.029978642
RPF,3,1,1,"[[ 0.25955462  0.35079914  0.19549318  0.07864115  0.05008196 -0.1729771
  -0.37594217 -0.34148288 -0.11767344 -0.31024697 -0.360301   -0.16277838
  -0.22867924 -0.03631006  0.02808895 -0.31355923]
 [ 0.35318992  0.44601017  0.25262725  0.13586605  0.0667337  -0.2928741
  -0.48626912 -0.42294586 -0.20643656 -0.39230222 -0.47146216 -0.24796653
  -0.31938604 -0.0302882   0.06071342 -0.42475408]
 [ 0.3071853   0.36952335  0.22236566  0.10958037  0.05555952 -0.25242597
  -0.40727654 -0.37463427 -0.17681961 -0.3284051  -0.3989752  -0.22321168
  -0.26458296 -0.02429657  0.05786562 -0.3608518 ]]",[-0.09108071 -0.12372152 -0.10558749],4.0,1,6,Cluster-4,-0.10679657
IQSEPKAIP,9,0,0,"[[-2.72000674e-02 -3.55595499e-02 -5.74215548e-04 -1.23749651e-01
   1.31415334e-02  2.05843821e-01  1.24176852e-02 -8.32094997e-02
   1.55800775e-01 -2.53230669e-02  9.65771005e-02  4.59479131e-02
   6.91085383e-02 -4.48372550e-02 -4.46398184e-03  5.41523471e-02]
 [-3.22434381e-02 -3.69314477e-02 -7.85784563e-04 -1.21011384e-01
   8.29178281e-03  2.01692760e-01  2.04726085e-02 -7.66320154e-02
   1.53857544e-01 -1.62511431e-02  8.93982649e-02  5.22590727e-02
   7.50226676e-02 -4.28728163e-02 -1.25315674e-02  5.94086424e-02]
 [-5.46838529e-02 -4.30357009e-02 -1.72715914e-03 -1.08827502e-01
  -1.32871326e-02  1.83222696e-01  5.63129149e-02 -4.73655537e-02
   1.45211175e-01  2.41143070e-02  5.74560948e-02  8.03405121e-02
   1.01337515e-01 -3.41320597e-02 -4.84282188e-02  8.27964544e-02]
 [-2.48152427e-02 -3.49108279e-02 -4.74172179e-04 -1.25044480e-01
   1.54348034e-02  2.07806706e-01  8.60880315e-03 -8.63197595e-02
   1.56719655e-01 -2.96128541e-02  9.99717116e-02  4.29635942e-02
   6.63119555e-02 -4.57661673e-02 -6.49113208e-04  5.16668409e-02]
 [ 2.66687684e-02 -2.09061243e-02  1.68557954e-03 -1.52997389e-01
   6.49423078e-02  2.50181735e-01 -7.36179352e-02 -1.53464437e-01
   1.76556617e-01 -1.22221410e-01  1.73255131e-01 -2.14623436e-02
   5.93902916e-03 -6.58196807e-02  8.17068964e-02 -1.99073553e-03]
 [ 6.39335066e-02 -1.07693523e-02  3.24883359e-03 -1.73230052e-01
   1.00776426e-01  2.80853271e-01 -1.33134633e-01 -2.02064574e-01
   1.90914854e-01 -1.89252585e-01  2.26298556e-01 -6.80946037e-02
  -3.77596244e-02 -8.03346485e-02  1.41317159e-01 -4.08287197e-02]
 [ 3.93017940e-02 -1.74696799e-02  2.21553445e-03 -1.59856409e-01
   7.70903453e-02  2.60579616e-01 -9.37945545e-02 -1.69940263e-01
   1.81424171e-01 -1.44945502e-01  1.91237256e-01 -3.72710377e-02
  -8.87515396e-03 -7.07403719e-02  1.01915225e-01 -1.51571035e-02]
 [-1.21822096e-02 -3.14743817e-02  5.57828462e-05 -1.31903499e-01
   2.75828484e-02  2.18204588e-01 -1.15678199e-02 -1.02795571e-01
   1.61587209e-01 -5.23369350e-02  1.17953837e-01  2.71548964e-02
   5.14977872e-02 -5.06868549e-02  1.95592232e-02  3.85004655e-02]
 [-4.82699797e-02 -4.12909947e-02 -1.45809748e-03 -1.12309873e-01
  -7.11949216e-03  1.88501775e-01  4.60691154e-02 -5.57304323e-02
   1.47682458e-01  1.25771398e-02  6.65857345e-02  7.23143369e-02
   9.38162580e-02 -3.66303250e-02 -3.81683148e-02  7.61118010e-02]]","[0.01925453 0.02007148 0.02370653 0.01886822 0.0105285  0.00449211
 0.00848212 0.01682184 0.02266757]",1.0,1,3,Cluster-1,0.016099209
WL,2,1,1,"[[ 0.22582991  0.05618222  0.15571919  0.07406548  0.01785839 -0.2915495
  -0.11900207 -0.2395218  -0.20832948 -0.07404946 -0.16365917 -0.28193614
  -0.10630266  0.0399504   0.13184243 -0.19227621]
 [ 0.22582991  0.05618222  0.15571919  0.07406548  0.01785839 -0.2915495
  -0.11900207 -0.2395218  -0.20832948 -0.07404946 -0.16365917 -0.28193614
  -0.10630266  0.0399504   0.13184243 -0.19227621]]",[-0.06094866 -0.06094866],3.0,1,2,Cluster-3,-0.060948655
YGY,3,1,1,"[[ 0.2048081   0.05270912  0.14421228  0.06011531  0.01592351 -0.2535078
  -0.10916989 -0.22622684 -0.17996852 -0.06983829 -0.14947234 -0.25250626
  -0.09210739  0.03320487  0.11657481 -0.17289856]
 [ 0.25875002  0.07106132  0.17443511  0.09532988  0.02183945 -0.3452568
  -0.14227578 -0.26297507 -0.24829583 -0.08813772 -0.19155474 -0.32258946
  -0.13178542  0.04766977  0.15156291 -0.22556731]
 [ 0.2048081   0.05270912  0.14421228  0.06011531  0.01592351 -0.2535078
  -0.10916989 -0.22622684 -0.17996852 -0.06983829 -0.14947234 -0.25250626
  -0.09210739  0.03320487  0.11657481 -0.17289856]]",[-0.05488424 -0.07111186 -0.05488424],3.0,1,2,Cluster-3,-0.060293447
